Timestamp,Computer,DestinationPortName,EventID,EventRecordID,Execution_ProcessID,Initiated,ProcessId,SourceIsIpv6,SourceIp,SourcePort,DestinationIp,DestinationPort,Protocol,DestinationServiceName,Image,CommandLine,ParentImage,ParentProcessId,ParentCommandLine,User,TargetFilename
2026-05-23 10:00:06,WKSTN-ENG-03,0,1,600221,1050,false,7135,false,0,0,0,0,,,C:\Windows\System32\taskhostw.exe,taskhostw.exe $(Arg0),C:\Windows\System32\svchost.exe,1100,svchost.exe -k LocalServiceSpace,NT AUTHORITY\SYSTEM,
2026-05-23 10:00:13,WKSTN-FIN-02,80,3,600260,1120,true,1120,false,10.0.0.102,49207,23.45.67.89,80,tcp,HTTP,C:\Windows\System32\svchost.exe,C:\Windows\System32\svchost.exe -k netsvcs,C:\Windows\System32\services.exe,800,services.exe,NT AUTHORITY\SYSTEM,
2026-05-23 10:00:23,WKSTN-HR-01,0,1,600206,900,false,5500,false,0,0,0,0,,,C:\Program Files\Windows Defender\MpCmdRun.exe,"""MpCmdRun.exe"" -SignatureUpdate",C:\Windows\System32\svchost.exe,1100,svchost.exe -k LocalService,NT AUTHORITY\NETWORK SERVICE,
2026-05-23 10:00:24,WKSTN-ENG-03,53,3,600309,1100,true,1100,false,10.0.0.103,52880,10.0.0.100,53,udp,DNS,C:\Windows\System32\svchost.exe,C:\Windows\System32\svchost.exe -k NetworkService,C:\Windows\System32\services.exe,800,services.exe,CORP\user-eng-03,
2026-05-23 10:00:28,WKSTN-HR-01,53,3,600207,1100,true,1100,false,10.0.0.101,51061,10.0.0.100,53,udp,DNS,C:\Windows\System32\svchost.exe,C:\Windows\System32\svchost.exe -k NetworkService,C:\Windows\System32\services.exe,800,services.exe,CORP\user-hr-01,
2026-05-23 10:00:50,WKSTN-FIN-02,53,3,600274,1100,true,1100,false,10.0.0.102,50041,10.0.0.100,53,udp,DNS,C:\Windows\System32\svchost.exe,C:\Windows\System32\svchost.exe -k NetworkService,C:\Windows\System32\services.exe,800,services.exe,CORP\user-fin-02,
2026-05-23 10:00:53,WKSTN-HR-01,80,3,600305,1120,true,1120,false,10.0.0.101,49658,23.45.67.89,80,tcp,HTTP,C:\Windows\System32\svchost.exe,C:\Windows\System32\svchost.exe -k netsvcs,C:\Windows\System32\services.exe,800,services.exe,NT AUTHORITY\SYSTEM,
2026-05-23 10:00:57,SRV-FILE-02,0,1,600293,900,false,5500,false,0,0,0,0,,,C:\Program Files\Windows Defender\MpCmdRun.exe,"""MpCmdRun.exe"" -SignatureUpdate",C:\Windows\System32\svchost.exe,1100,svchost.exe -k LocalService,NT AUTHORITY\NETWORK SERVICE,
2026-05-23 10:00:58,SRV-FILE-02,0,1,600280,1050,false,8684,false,0,0,0,0,,,C:\Windows\System32\taskhostw.exe,taskhostw.exe $(Arg0),C:\Windows\System32\svchost.exe,1100,svchost.exe -k LocalServiceSpace,NT AUTHORITY\SYSTEM,
2026-05-23 10:01:00,SRV-FILE-02,0,1,600271,900,false,5500,false,0,0,0,0,,,C:\Program Files\Windows Defender\MpCmdRun.exe,"""MpCmdRun.exe"" -SignatureUpdate",C:\Windows\System32\svchost.exe,1100,svchost.exe -k LocalService,NT AUTHORITY\NETWORK SERVICE,
2026-05-23 10:01:01,SRV-DC-01,53,3,600215,1100,true,1100,false,10.0.0.100,61508,10.0.0.100,53,udp,DNS,C:\Windows\System32\svchost.exe,C:\Windows\System32\svchost.exe -k NetworkService,C:\Windows\System32\services.exe,800,services.exe,NT AUTHORITY\SYSTEM,
2026-05-23 10:01:03,WKSTN-ENG-03,53,3,600250,1100,true,1100,false,10.0.0.103,53500,10.0.0.100,53,udp,DNS,C:\Windows\System32\svchost.exe,C:\Windows\System32\svchost.exe -k NetworkService,C:\Windows\System32\services.exe,800,services.exe,CORP\user-eng-03,
2026-05-23 10:01:14,SRV-FILE-02,443,3,600261,3200,true,3200,false,10.0.0.99,63991,173.80.214.91,443,tcp,HTTPS,C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe,"""msedge.exe"" --type=utility",C:\Windows\explorer.exe,2000,explorer.exe,NT AUTHORITY\SYSTEM,
2026-05-23 10:01:19,SRV-DC-01,0,1,600232,1050,false,6854,false,0,0,0,0,,,C:\Windows\System32\taskhostw.exe,taskhostw.exe $(Arg0),C:\Windows\System32\svchost.exe,1100,svchost.exe -k LocalServiceSpace,NT AUTHORITY\SYSTEM,
2026-05-23 10:01:20,SRV-DC-01,443,3,600267,3200,true,3200,false,10.0.0.100,63615,59.138.139.230,443,tcp,HTTPS,C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe,"""msedge.exe"" --type=utility",C:\Windows\explorer.exe,2000,explorer.exe,NT AUTHORITY\SYSTEM,
2026-05-23 10:01:22,WKSTN-ENG-03,0,1,600270,900,false,5500,false,0,0,0,0,,,C:\Program Files\Windows Defender\MpCmdRun.exe,"""MpCmdRun.exe"" -SignatureUpdate",C:\Windows\System32\svchost.exe,1100,svchost.exe -k LocalService,NT AUTHORITY\NETWORK SERVICE,
2026-05-23 10:01:24,WKSTN-FIN-02,53,3,600316,1100,true,1100,false,10.0.0.102,60800,10.0.0.100,53,udp,DNS,C:\Windows\System32\svchost.exe,C:\Windows\System32\svchost.exe -k NetworkService,C:\Windows\System32\services.exe,800,services.exe,CORP\user-fin-02,
2026-05-23 10:01:28,SRV-FILE-02,0,1,600313,900,false,5500,false,0,0,0,0,,,C:\Program Files\Windows Defender\MpCmdRun.exe,"""MpCmdRun.exe"" -SignatureUpdate",C:\Windows\System32\svchost.exe,1100,svchost.exe -k LocalService,NT AUTHORITY\NETWORK SERVICE,
2026-05-23 10:01:31,WKSTN-HR-01,443,3,600291,3200,true,3200,false,10.0.0.101,64590,182.41.150.4,443,tcp,HTTPS,C:\Program Files\Google\Chrome\Application\chrome.exe,"""chrome.exe"" --type=utility",C:\Windows\explorer.exe,2000,explorer.exe,CORP\user-hr-01,
2026-05-23 10:01:42,SRV-DC-01,53,3,600212,1100,true,1100,false,10.0.0.100,60420,10.0.0.100,53,udp,DNS,C:\Windows\System32\svchost.exe,C:\Windows\System32\svchost.exe -k NetworkService,C:\Windows\System32\services.exe,800,services.exe,NT AUTHORITY\SYSTEM,
2026-05-23 10:01:43,WKSTN-ENG-03,0,1,600263,1050,false,6805,false,0,0,0,0,,,C:\Windows\System32\taskhostw.exe,taskhostw.exe $(Arg0),C:\Windows\System32\svchost.exe,1100,svchost.exe -k LocalServiceSpace,NT AUTHORITY\SYSTEM,
2026-05-23 10:01:48,WKSTN-FIN-02,443,3,600308,3200,true,3200,false,10.0.0.102,60152,32.33.216.18,443,tcp,HTTPS,C:\Program Files\Google\Chrome\Application\chrome.exe,"""chrome.exe"" --type=utility",C:\Windows\explorer.exe,2000,explorer.exe,CORP\user-fin-02,
2026-05-23 10:02:00,WKSTN-FIN-02,445,3,600283,4,true,4,false,10.0.0.102,57197,10.0.0.99,445,tcp,SMB,System,,,0,,CORP\user-fin-02,
2026-05-23 10:02:01,SRV-FILE-02,443,3,600277,3200,true,3200,false,10.0.0.99,62783,97.37.58.242,443,tcp,HTTPS,C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe,"""msedge.exe"" --type=utility",C:\Windows\explorer.exe,2000,explorer.exe,NT AUTHORITY\SYSTEM,
2026-05-23 10:02:08,SRV-DC-01,443,3,600225,3200,true,3200,false,10.0.0.100,61185,114.192.75.189,443,tcp,HTTPS,C:\Program Files\Google\Chrome\Application\chrome.exe,"""msedge.exe"" --type=utility",C:\Windows\explorer.exe,2000,explorer.exe,NT AUTHORITY\SYSTEM,
2026-05-23 10:02:11,SRV-DC-01,0,1,600227,1050,false,6748,false,0,0,0,0,,,C:\Windows\System32\taskhostw.exe,taskhostw.exe $(Arg0),C:\Windows\System32\svchost.exe,1100,svchost.exe -k LocalServiceSpace,NT AUTHORITY\SYSTEM,
2026-05-23 10:02:13,WKSTN-FIN-02,445,3,600319,4,true,4,false,10.0.0.102,58075,10.0.0.99,445,tcp,SMB,System,,,0,,CORP\user-fin-02,
2026-05-23 10:02:21,WKSTN-ENG-03,80,3,600214,1120,true,1120,false,10.0.0.103,49576,23.45.67.89,80,tcp,HTTP,C:\Windows\System32\svchost.exe,C:\Windows\System32\svchost.exe -k netsvcs,C:\Windows\System32\services.exe,800,services.exe,NT AUTHORITY\SYSTEM,
2026-05-23 10:02:27,WKSTN-ENG-03,445,3,600320,4,true,4,false,10.0.0.103,57448,10.0.0.99,445,tcp,SMB,System,,,0,,CORP\user-eng-03,
2026-05-23 10:02:36,WKSTN-ENG-03,0,1,600301,900,false,5500,false,0,0,0,0,,,C:\Program Files\Windows Defender\MpCmdRun.exe,"""MpCmdRun.exe"" -SignatureUpdate",C:\Windows\System32\svchost.exe,1100,svchost.exe -k LocalService,NT AUTHORITY\NETWORK SERVICE,
2026-05-23 10:02:37,WKSTN-FIN-02,443,3,600201,3200,true,3200,false,10.0.0.102,62166,29.119.171.24,443,tcp,HTTPS,C:\Program Files\Google\Chrome\Application\chrome.exe,"""chrome.exe"" --type=utility",C:\Windows\explorer.exe,2000,explorer.exe,CORP\user-fin-02,
2026-05-23 10:02:46,SRV-DC-01,0,1,600282,900,false,5500,false,0,0,0,0,,,C:\Program Files\Windows Defender\MpCmdRun.exe,"""MpCmdRun.exe"" -SignatureUpdate",C:\Windows\System32\svchost.exe,1100,svchost.exe -k LocalService,NT AUTHORITY\NETWORK SERVICE,
2026-05-23 10:02:46,WKSTN-HR-01,53,3,600251,1100,true,1100,false,10.0.0.101,55348,10.0.0.100,53,udp,DNS,C:\Windows\System32\svchost.exe,C:\Windows\System32\svchost.exe -k NetworkService,C:\Windows\System32\services.exe,800,services.exe,CORP\user-hr-01,
2026-05-23 10:02:49,WKSTN-FIN-02,0,1,600259,1050,false,6119,false,0,0,0,0,,,C:\Windows\System32\taskhostw.exe,taskhostw.exe $(Arg0),C:\Windows\System32\svchost.exe,1100,svchost.exe -k LocalServiceSpace,NT AUTHORITY\SYSTEM,
